train_scenes,train_samples,epochs,best_val_ap,seen_rate,seen_ci_lo,seen_ci_hi,unseen_rate,unseen_ci_lo,unseen_ci_hi,generalisation_gap_pp,angle_error_deg,angle_error_deg_seen,angle_error_deg_heldout,bin_spread,train_seconds
128,384,12,0.5040963001158276,0.6413333333333333,0.6167290570721334,0.6652155307089201,0.48133333333333334,0.4561274387574178,0.5066345968186695,15.999999999999998,44.78808659465599,41.20929057120638,46.0524516568328,0.4246256999935197,747.247197508
512,1536,12,0.7054933523663969,0.728,0.70491921468222,0.7499159222098569,0.502,0.4767239412683933,0.5272658406341688,22.599999999999998,45.6928475072737,46.90746285960379,45.26373190375587,0.13243830414999902,1399.9960266080002
2048,6144,12,0.7427365302747522,0.7226666666666667,0.6994638101424602,0.7447319083427846,0.4713333333333333,0.44617687414914514,0.4966362519141317,25.133333333333336,45.92725834526359,47.80537556105658,45.26373190375587,0.07344442236739977,4498.118285177001
