train_scenes,train_samples,epochs,best_val_ap,seen_rate,seen_ci_lo,seen_ci_hi,unseen_rate,unseen_ci_lo,unseen_ci_hi,generalisation_gap_pp,angle_error_deg,angle_error_deg_seen,angle_error_deg_heldout,bin_spread,train_seconds
128,384,12,0.4819935894713506,0.585,0.5157378707263818,0.6510583082675037,0.42,0.3537348235017175,0.48928053744521394,16.499999999999996,45.93436894282267,46.861337409214755,45.61100784989519,0.4155813196095927,447.56292013300003
256,768,12,0.6087735384652097,0.7,0.6332080400667355,0.759253557565936,0.48,0.4117904407948983,0.5489633994418346,21.999999999999996,44.46059404155061,41.162741124296105,45.61100784989519,0.16757042166487923,655.303691607
512,1536,12,0.6542285500970527,0.705,0.6384115802925058,0.7638615572809827,0.42,0.3537348235017175,0.48928053744521394,28.499999999999996,45.12657313799235,44.829571759000444,45.23017827019883,0.07605184049441896,962.1342503790002
1024,3072,12,0.7261679477729472,0.78,0.7176107720803744,0.8318354646053661,0.52,0.4510366005581654,0.5882095592051018,26.0,44.38786193773694,45.823622500928764,43.88701522964678,0.08868725649241743,1726.9445127870003
2048,6144,12,0.7153205611530425,0.72,0.6540756858222899,0.7776320715736488,0.44,0.3729770042058236,0.509284516504375,27.999999999999996,45.45007259048111,49.17043021924315,44.15227341765715,0.04565061063602053,3272.7341850250004
