train_scenes,train_samples,epochs,best_val_ap,seen_rate,seen_ci_lo,seen_ci_hi,unseen_rate,unseen_ci_lo,unseen_ci_hi,generalisation_gap_pp,angle_error_deg,angle_error_deg_seen,angle_error_deg_heldout,bin_spread,train_seconds
128,384,12,0.5357218320671359,0.6673333333333333,0.6430881099468722,0.6907236425674883,0.4613333333333333,0.4362364430011075,0.486627773549359,20.6,44.28502200916899,42.03918464793758,45.07846155595135,0.2968575713776909,649.218193576
512,1536,12,0.6534024776995174,0.774,0.7521497049004584,0.7944504157505463,0.5566666666666666,0.531413163150578,0.5816306574220141,21.733333333333338,43.89244181864638,45.43306000755434,43.34815156028968,0.11137771791061468,1357.8324436490002
2048,6144,12,0.6943373040908731,0.7773333333333333,0.7555855135896447,0.7976642435656301,0.5013333333333333,0.47605886558800703,0.526600989013701,27.6,43.778405936161796,44.83914270278849,43.40365462340147,0.06320102110636973,4424.593437685
